,model,time_period,site_name,min,mean,max,sd
0,CRCM_ccsm,current,RandomSite0,0.44188485431373525,6.867059988983936,21.552948474284864,2.8356145585361356
1,CRCM_cgcm3,current,RandomSite0,0.5921075280666085,6.800111630105854,19.370536334422475,2.886137595157325
2,HRM3_gfdl,current,RandomSite0,0.6817953879670993,4.7923045700906055,14.019826936684339,1.9040410091862483
3,HRM3_hadcm3,current,RandomSite0,0.8068594978201494,4.8927196169723794,15.390659137500696,1.9372354239127358
4,RCM3_cgcm3,current,RandomSite0,0.8406998238037504,6.0536143290786955,20.20420662529069,2.204637354951817
5,RCM3_gfdl,current,RandomSite0,0.6196351494480432,6.018621040871235,21.28459149354076,2.3973359504224905
6,CRCM_ccsm,future,RandomSite0,0.43402182413805507,6.836402647508466,19.59934217694223,2.810755111910268
7,CRCM_cgcm3,future,RandomSite0,0.32892661145811897,6.812423512453094,20.49612931117565,2.9204021108855516
8,HRM3_gfdl,future,RandomSite0,0.6656272307170344,4.918707423364435,13.126436260023677,1.9280804343053695
9,HRM3_hadcm3,future,RandomSite0,0.6892035945910961,4.8962528826630916,18.39335507532287,1.9833063513554363
10,RCM3_cgcm3,future,RandomSite0,0.9788328257075721,6.0290003322459995,20.770544182842045,2.1707745731847723
11,RCM3_gfdl,future,RandomSite0,0.7615419514399456,5.949799776718094,21.51857146412657,2.3967449799782186
12,CRCM_ccsm,current,RandomSite1,0.288710436443637,6.629560853535262,19.95075826896275,2.706448902660436
13,CRCM_cgcm3,current,RandomSite1,0.41833082168235025,6.558357965637843,19.134104833419578,2.7592013947015284
14,HRM3_gfdl,current,RandomSite1,0.5879489507289257,4.81502565385407,15.014921875209474,1.9201179948576519
15,HRM3_hadcm3,current,RandomSite1,0.6626877313235852,4.8796909640765165,15.41443035540329,1.9520740898770108
16,RCM3_cgcm3,current,RandomSite1,0.860112177278765,6.073252732594254,17.41249186164122,2.2388242290858313
17,RCM3_gfdl,current,RandomSite1,0.7887075557085692,6.078541073841908,21.597184410069328,2.4252744767065058
18,CRCM_ccsm,future,RandomSite1,0.31087077480913533,6.615387155825896,19.440183653206148,2.6821113075225704
19,CRCM_cgcm3,future,RandomSite1,0.1909528377819012,6.566721877688251,20.834177279722304,2.812249736348622
20,HRM3_gfdl,future,RandomSite1,0.5880983014291044,4.926296170983341,13.908737719362009,1.9389214769318102
21,HRM3_hadcm3,future,RandomSite1,0.6244961615547434,4.88536624301406,18.849015612194563,1.9881373940200568
22,RCM3_cgcm3,future,RandomSite1,0.9693366528869294,6.017348647539372,20.602171881122658,2.199102509960776
23,RCM3_gfdl,future,RandomSite1,0.8203798039348724,5.980018404991021,20.265676960111307,2.4219014036077327
24,CRCM_ccsm,current,RandomSite2,0.2629215782092442,6.699330676383996,17.731604844841694,2.8739896101328735
25,CRCM_cgcm3,current,RandomSite2,0.2108383344974356,6.653665041058364,19.15675945802634,2.9775781792038702
26,HRM3_gfdl,current,RandomSite2,0.7481264586962771,5.713886109922676,18.15637503451368,2.3474304298615407
